,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
986,1.0,0.0,34.0,182.0,1.0,2095.0,87451.0,34.0,1.0355881321488627e+18,Supporting Inclusive Practices (SIP),-15519.36003589318
987,4.0,1.0,1049.0,193.0,73.0,92.0,8475.0,3.0,1.0370682800187515e+18,OpenMainframeProject,-1622.3860119862093
988,0.0,1.0,1043.0,1285.0,46.0,1268.0,63251.0,12.0,1.0399113009843896e+18,Tahir Mehmood Qureshi,-11142.83278427172
989,0.0,180.0,782.0,318.0,29.0,1560.0,99587.0,13.0,1.0391521678467032e+18,てれか,-17503.561276148106
990,3.0,2.0,2168.0,3432.0,225.0,3534.0,125466.0,19.0,8.804178444874916e+17,Leo Havemann,-22319.69156810033
991,1.0,0.0,26.0,134.0,0.0,658.0,50114.0,28.0,1.0380600089220751e+18,monlivrepratique.com,-8693.005324730977
992,0.0,15.0,1792.0,1983.0,12.0,4425.0,126978.0,12.0,1.0397110991454003e+18,Mansoor Ali Hunzai,-23108.50515893166
993,0.0,0.0,1119.0,1111.0,85.0,27535.0,124578.0,22.0,1.0372803098621664e+18,Headley Goforth,-31085.90054124074
994,0.0,0.0,9339.0,8531.0,1346.0,1061.0,94587.0,16.0,1.037192356431315e+18,Maxwell James Agency,-16519.57304809566
995,1.0,0.0,2469.0,1423.0,116.0,738.0,84522.0,14.0,1.0372961525578259e+18,LDC,-14785.589150074215
996,0.0,0.0,1815.0,1728.0,117.0,9939.0,154893.0,39.0,1.0371378308023214e+18,Janet O'Hara,-29846.55379013144
997,0.0,0.0,18.0,114.0,0.0,2938.0,124578.0,19.0,1.037210895074648e+18,INSDHyderabad,-22107.967513115917
998,0.0,6.0,889.0,1112.0,41.0,1395.0,199856.0,16.0,8.790626769111366e+17,K-12 OER Resources,-34274.47464326268
999,0.0,27.0,12468.0,13163.0,726.0,241.0,19485.0,15.0,1.0399252846135704e+18,Emma Lewis,-3586.145992599009
1000,0.0,0.0,261.0,218.0,10.0,33.0,145.0,17.0,1.0398844867191027e+18,TMJ-CAL Engin. Jobs,-51.09511197416105
